iter	Passed	Remaining
540	108225	91821
541	108431	91626
542	108637	91431
543	108845	91238
544	109052	91043
545	109259	90849
546	109455	90645
547	109664	90453
548	109871	90258
549	110076	90062
550	110281	89866
551	110489	89672
552	110698	89479
553	110905	89285
554	111114	89092
555	111321	88897
556	111528	88702
557	111736	88508
558	111945	88314
559	112156	88123
560	112365	87929
561	112572	87734
562	112779	87539
563	112988	87345
564	113197	87152
565	113402	86955
566	113610	86760
567	113818	86565
568	114027	86372
569	114236	86178
570	114444	85983
571	114653	85789
572	114861	85594
573	115070	85400
574	115279	85206
575	115486	85010
576	115694	84815
577	115899	84618
578	116103	84421
579	116310	84225
580	116515	84027
581	116728	83836
582	116939	83642
583	117145	83446
584	117354	83251
585	117562	83055
586	117766	82857
587	117972	82660
588	118177	82463
589	118384	82267
590	118592	82071
591	118798	81874
592	119005	81678
593	119211	81481
594	119412	81280
595	119622	81086
596	119830	80890
597	120036	80693
598	120241	80495
599	120446	80297
600	120654	80102
601	120860	79904
602	121067	79707
603	121275	79511
604	121480	79313
605	121686	79116
606	121894	78920
607	122099	78722
608	122306	78525
609	122508	78324
610	122712	78126
611	122920	77929
612	123127	77733
613	123335	77536
614	123540	77338
615	123746	77140
616	123952	76942
617	124160	76746
618	124365	76548
619	124570	76349
620	124776	76152
621	124985	75955
622	125190	75757
623	125395	75558
624	125604	75362
625	125813	75166
626	126018	74968
627	126226	74771
628	126432	74572
629	126638	74375
630	126845	74177
631	127053	73980
632	127259	73782
633	127465	73584
634	127671	73385
635	127877	73187
636	128082	72989
637	128289	72791
638	128494	72592
639	128700	72393
640	128913	72199
641	129119	72001
642	129324	71802
643	129536	71607
644	129742	71408
645	129947	71209
646	130153	71011
647	130359	70812
648	130565	70614
649	130790	70425
650	130996	70227
651	131203	70028
652	131414	69832
653	131620	69634
654	131825	69434
655	132031	69235
656	132238	69037
657	132445	68839
658	132651	68640
659	132859	68442
660	133065	68244
661	133272	68045
662	133479	67846
663	133684	67647
664	133888	67447
665	134094	67248
666	134303	67050
667	134509	66852
668	134715	66652
669	134925	66455
670	135130	66256
671	135335	66056
672	135540	65856
673	135747	65658
674	135953	65458
675	136159	65259
676	136366	65060
677	136573	64862
678	136787	64666
679	136994	64467
680	137202	64269
681	137411	64071
682	137616	63872
683	137823	63672
684	138032	63474
685	138237	63274
686	138444	63075
687	138651	62876
688	138858	62677
689	139064	62478
690	139271	62279
691	139476	62079
692	139686	61881
693	139891	61681
694	140095	61480
695	140302	61281
696	140509	61082
697	140717	60883
698	140922	60683
699	141135	60486
700	141343	60287
701	141551	60088
702	141759	59889
703	141966	59690
704	142172	59490
705	142376	59290
706	142582	59090
707	142788	58890
708	142995	58690
709	143201	58490
710	143406	58290
711	143612	58090
712	143820	57891
713	144030	57693
714	144238	57493
715	144443	57293
716	144650	57093
717	144858	56894
718	145063	56693
719	145271	56494
720	145479	56295
721	145684	56094
722	145893	55895
723	146100	55695
724	146307	55495
725	146513	55295
726	146720	55095
727	146927	54896
728	147132	54695
729	147339	54495
730	147549	54296
731	147757	54097
732	147965	53897
733	148171	53697
734	148380	53497
735	148586	53297
736	148790	53096
737	148996	52895
738	149203	52695
739	149406	52494
740	149609	52292
741	149816	52092
742	150022	51892
743	150229	51692
744	150439	51492
745	150644	51291
746	150851	51091
747	151059	50891
748	151269	50692
749	151476	50492
750	151662	50284
751	151840	50074
752	152010	49862
753	152191	49653
754	152385	49449
755	152584	49246
756	152784	49044
757	152949	48830
758	153152	48629
759	153338	48422
760	153515	48213
761	153707	48008
762	153910	47807
763	154114	47605
764	154322	47406
765	154527	47205
766	154730	47004
767	154942	46805
768	155148	46605
769	155358	46405
770	155564	46205
771	155772	46005
772	155978	45804
773	156186	45604
774	156390	45403
775	156597	45203
776	156804	45003
777	157011	44802
778	157216	44601
779	157423	44401
780	157629	44200
781	157836	44000
782	158042	43799
783	158249	43599
784	158456	43398
785	158663	43198
786	158868	42997
787	159075	42796
788	159281	42596
789	159477	42392
790	159689	42193
791	159895	41992
792	160100	41791
793	160306	41590
794	160510	41389
795	160718	41189
796	160925	40988
797	161132	40787
798	161336	40586
799	161542	40385
800	161751	40185
801	161956	39984
802	162161	39783
803	162365	39581
804	162570	39380
805	162774	39178
806	162980	38978
807	163187	38777
808	163390	38575
809	163596	38374
810	163806	38174
811	164015	37974
812	164221	37773
813	164429	37572
814	164634	37370
815	164841	37170
816	165047	36969
817	165264	36770
818	165470	36569
819	165677	36368
820	165888	36168
821	166095	35967
822	166304	35766
823	166511	35565
824	166718	35364
825	166926	35163
826	167133	34962
827	167338	34761
828	167544	34559
829	167749	34358
830	167957	34157
831	168173	33958
832	168380	33756
833	168584	33555
834	168765	33348
835	168967	33146
836	169173	32945
837	169364	32741
838	169560	32537
839	169768	32336
840	169977	32135
841	170181	31934
842	170392	31733
843	170597	31532
844	170806	31331
845	171021	31131
846	171228	30930
847	171434	30728
848	171640	30527
849	171844	30325
850	172050	30124
851	172258	29922
852	172465	29721
853	172671	29519
854	172876	29318
855	173083	29116
856	173290	28915
857	173497	28714
858	173700	28512
859	173909	28310
860	174133	28112
861	174343	27911
862	174550	27709
863	174757	27508
864	174963	27306
865	175170	27104
866	175374	26902
867	175581	26701
868	175788	26499
869	175995	26298
870	176200	26096
871	176407	25894
872	176619	25693
873	176825	25492
874	177030	25290
875	177240	25088
876	177448	24887
877	177654	24685
878	177861	24483
879	178068	24282
880	178273	24080
881	178478	23878
882	178686	23676
883	178892	23474
884	179100	23272
885	179307	23071
886	179512	22869
887	179722	22667
888	179928	22465
889	180135	22263
890	180340	22061
891	180546	21859
892	180754	21658
893	180960	21456
894	181166	21254
895	181374	21052
896	181582	20850
897	181791	20648
898	181998	20446
899	182206	20245
900	182414	20043
901	182620	19841
902	182829	19639
903	183034	19437
904	183242	19235
905	183449	19033
906	183656	18831
907	183864	18629
908	184070	18427
909	184276	18225
910	184483	18023
911	184689	17820
912	184897	17618
913	185105	17416
914	185311	17214
915	185519	17012
916	185724	16810
917	185929	16608
918	186133	16405
919	186343	16203
920	186550	16001
921	186756	15799
922	186963	15597
923	187177	15395
924	187381	15193
925	187614	14992
926	187821	14790
927	188025	14588
928	188236	14386
929	188442	14183
930	188649	13981
931	188858	13779
932	189065	13577
933	189271	13374
934	189475	13172
935	189682	12969
936	189889	12767
937	190097	12565
938	190309	12363
939	190535	12161
940	190748	11959
941	190952	11757
942	191164	11555
943	191385	11353
944	191590	11150
945	191795	10948
946	192000	10745
947	192212	10543
948	192416	10340
949	192620	10137
950	192826	9935
951	193030	9732
952	193239	9530
953	193445	9327
954	193653	9125
955	193860	8922
956	194066	8719
957	194274	8517
958	194479	8314
959	194686	8111
960	194895	7909
961	195104	7706
962	195310	7504
963	195516	7301
964	195724	7098
965	195929	6896
966	196137	6693
967	196342	6490
968	196551	6288
969	196758	6085
970	196969	5882
971	197175	5679
972	197379	5477
973	197586	5274
974	197791	5071
975	197999	4868
976	198204	4666
977	198411	4463
978	198618	4260
979	198826	4057
980	199032	3854
981	199240	3652
982	199449	3449
983	199655	3246
984	199862	3043
985	200090	2841
986	200295	2638
987	200502	2435
988	200707	2232
989	200913	2029
990	201118	1826
991	201326	1623
992	201540	1420
993	201745	1217
994	201953	1014
995	202159	811
996	202367	608
997	202573	405
998	202780	202
999	202986	0
