iter	Logloss
0	0.6810027508
1	0.6702842914
2	0.6593309823
3	0.6503916776
4	0.6429119733
5	0.6358454249
6	0.6300854402
7	0.6246960694
8	0.6195258986
9	0.6150170895
10	0.6114114164
11	0.6072829796
12	0.6040027277
13	0.6009726538
14	0.5982878627
15	0.595785824
16	0.5930390169
17	0.5906640432
18	0.5882936958
19	0.5858942026
20	0.58383335
21	0.5819624938
22	0.5799334276
23	0.5781130403
24	0.5764615498
25	0.5748999854
26	0.5731889886
27	0.5716344163
28	0.5701543291
29	0.568637705
30	0.5669693382
31	0.5658273497
32	0.5644912054
33	0.5628188592
34	0.5615820645
35	0.5601055223
36	0.5589598509
37	0.5577549268
38	0.5564058812
39	0.5552925215
40	0.5540239845
41	0.5529733497
42	0.5516830369
43	0.5504499288
44	0.5494008659
45	0.548397109
46	0.5472732208
47	0.5463032341
48	0.5454558715
49	0.54443152
50	0.5433663927
51	0.5422974133
52	0.5413508114
53	0.5405647919
54	0.5395882891
55	0.5386504297
56	0.5377693545
57	0.5368278327
58	0.5358968792
59	0.5349818698
60	0.5340213793
61	0.5333903803
62	0.5326160244
63	0.5317547371
64	0.5309641006
65	0.5300789719
66	0.5293463854
67	0.5284808135
68	0.5278087542
69	0.5270766117
70	0.5262563993
71	0.5253786848
72	0.5247368562
73	0.5240485842
74	0.5233675039
75	0.5226684093
76	0.5219109246
77	0.5212228197
78	0.5204717275
79	0.5197553335
80	0.5189910618
81	0.5183030186
82	0.5176448433
83	0.516915519
84	0.5162400048
85	0.5155342115
86	0.5148524099
87	0.5141132471
88	0.5134325148
89	0.5129302209
90	0.5122781675
91	0.5118065624
92	0.5110979914
93	0.5105490271
94	0.5098920907
95	0.5091390594
96	0.5085337298
97	0.5080723216
98	0.5074506199
99	0.5067607879
100	0.5061776218
101	0.5055557961
102	0.5051482353
103	0.5045829629
104	0.5040081657
105	0.5033899093
106	0.5028601817
107	0.5023029092
108	0.5018284201
109	0.5012824268
110	0.5006913781
111	0.5002058819
112	0.4996610536
113	0.4991552012
114	0.4986573712
115	0.498037467
116	0.497469807
117	0.4968864889
118	0.4963301161
119	0.4957782698
120	0.4952286418
121	0.4946120257
122	0.4940883272
123	0.4935327809
124	0.493000041
125	0.4924948384
126	0.4919829556
127	0.4914055282
128	0.4908580561
129	0.4904044264
130	0.4899755036
131	0.4895207465
132	0.4890353737
133	0.4885566985
134	0.4880667946
135	0.4875140316
136	0.4871025646
137	0.4865948721
138	0.4860754737
139	0.4856153129
140	0.4851187615
141	0.4845568136
142	0.4840504138
143	0.4835796457
144	0.483137831
145	0.4826703171
146	0.4822210066
147	0.4817130992
148	0.4812901929
149	0.4807458188
150	0.4802757985
151	0.4798102188
152	0.4793893817
153	0.4789388472
154	0.4785091688
155	0.4780844074
156	0.4776091395
157	0.4771797874
158	0.4767783114
159	0.4762695206
160	0.4758061092
161	0.4753495169
162	0.474875251
163	0.4744782722
164	0.4740442006
165	0.4736317892
166	0.4731826667
167	0.4726906248
168	0.4722689753
169	0.4718490106
170	0.4714099658
171	0.4709671766
172	0.4705742652
173	0.4701806602
174	0.4697210498
175	0.4692706257
176	0.4688666515
177	0.4684521386
178	0.4680405272
179	0.4675994252
180	0.4671890576
181	0.4668410511
182	0.4664460581
183	0.4660230499
184	0.4656743201
185	0.4653009879
186	0.464941438
187	0.4645885517
188	0.4641939305
189	0.463780926
190	0.4632722521
191	0.4628683696
192	0.4624954868
193	0.4621284604
194	0.4617512226
195	0.4613937491
196	0.4610466382
197	0.460667096
198	0.4603043943
199	0.4599266964
200	0.4596102109
201	0.4592566259
202	0.4589166599
203	0.4585477074
204	0.4582377162
205	0.4578088939
206	0.45735423
207	0.4569653116
208	0.4565350665
209	0.4561271025
210	0.4556537049
211	0.4553116803
212	0.4549908686
213	0.4546384236
214	0.4542775438
215	0.4539324591
216	0.4535691613
217	0.4532334411
218	0.4528986935
219	0.4525794341
220	0.4522067736
221	0.4517947738
222	0.4514812182
223	0.4511827806
224	0.4508125061
225	0.4504641034
226	0.4501198236
227	0.4498119789
228	0.4494844061
229	0.4491329745
230	0.4487186229
231	0.4483683326
232	0.4480275944
233	0.447671165
234	0.4472664311
235	0.4469845607
236	0.4466668381
237	0.4463526793
238	0.4460220755
239	0.4456876113
240	0.4453431685
241	0.4450544687
242	0.444715647
243	0.4443909801
244	0.4441466632
245	0.4438507083
246	0.4435496851
247	0.4432343459
248	0.4429188134
249	0.4426539783
250	0.4423435203
251	0.4420604581
252	0.4417913194
253	0.4415002928
254	0.4411858601
255	0.4408383695
256	0.4405344
257	0.4401611711
258	0.439876308
259	0.43955713
260	0.439237663
261	0.4389171847
262	0.4386102205
263	0.4383487562
264	0.4380204769
265	0.4377398256
266	0.4374347169
267	0.4371812342
268	0.4368382063
269	0.4365309898
270	0.4362412737
271	0.4359343903
272	0.4356644315
273	0.4353944423
274	0.4351379885
275	0.4348369315
276	0.4345502421
277	0.43424228
278	0.4339687267
279	0.4336576316
280	0.4333802407
281	0.4330687741
282	0.4327865657
283	0.4325228674
284	0.4322518902
285	0.4319756803
286	0.4317125514
287	0.4313329199
288	0.4310387118
289	0.4307842046
290	0.4305342913
291	0.430281647
292	0.4299734413
293	0.4297308921
294	0.4294497246
295	0.4291555776
296	0.4289137908
297	0.4286902653
298	0.4283918994
299	0.4281135039
300	0.4278543336
301	0.4275755582
302	0.4273479854
303	0.4271167552
304	0.4268128548
305	0.4265820203
306	0.4263228769
307	0.4260271819
308	0.425786886
309	0.4255142498
310	0.4252379871
311	0.424935568
312	0.4246839829
313	0.4244423466
314	0.4241714511
315	0.4239250822
316	0.4237051752
317	0.4235053318
318	0.4232821452
319	0.4230447439
320	0.4227971558
321	0.4225587264
322	0.4223222205
323	0.4220708216
324	0.4218391534
325	0.4215970265
326	0.4213791851
327	0.4211150784
328	0.4209035211
329	0.4206096605
330	0.4203582299
331	0.4200702781
332	0.4198322875
333	0.4195832423
334	0.41932781
335	0.4190998411
336	0.418838135
337	0.4186161209
338	0.4182938616
339	0.4180516644
340	0.4178120169
341	0.4175763135
342	0.4173623344
343	0.4171212912
344	0.4168518739
345	0.4166157573
346	0.4163927309
347	0.4161510066
348	0.4159472393
349	0.4157293234
350	0.4154800162
351	0.4152452712
352	0.4150155548
353	0.4147433796
354	0.4144963224
355	0.4142252929
356	0.4140026857
357	0.4137173837
358	0.4134759562
359	0.413280221
360	0.4130676832
361	0.4128333423
362	0.4126261821
363	0.4124192985
364	0.4121780882
365	0.411977867
366	0.4117443346
367	0.411532503
368	0.4113280957
369	0.4110739433
370	0.4108490113
371	0.4106079414
372	0.4103771189
373	0.4101543251
374	0.4099298016
375	0.4097105858
376	0.4094834606
377	0.4092476564
378	0.4090133528
379	0.4088074579
380	0.4085959138
381	0.4084127289
382	0.40824524
383	0.4080374232
384	0.407810703
385	0.4075927277
386	0.4073545504
387	0.407132488
388	0.406917946
389	0.4067186538
390	0.4065030212
391	0.4062829354
392	0.4060608599
393	0.4058615875
394	0.4056708531
395	0.40548209
396	0.405274882
397	0.4050698701
398	0.404859557
399	0.4046851528
400	0.4044757272
401	0.4042688063
402	0.4040684003
403	0.4038501678
404	0.4036278915
405	0.403458009
406	0.4032948903
407	0.4030721941
408	0.4028640676
409	0.4026285879
410	0.4024576282
411	0.4022330075
412	0.4020336875
413	0.4018317647
414	0.4016251963
415	0.4014484443
416	0.4012755249
417	0.4010667835
418	0.4008840099
419	0.4006882557
420	0.4004560151
421	0.4002796075
422	0.4000226894
423	0.3998032318
424	0.3996269861
425	0.3994215615
426	0.3992149922
427	0.3990116878
428	0.3988071053
429	0.3986477851
430	0.3984345315
431	0.3982360778
432	0.3980133382
433	0.3978177058
434	0.3975889516
435	0.3973527994
436	0.3971430122
437	0.3969172346
438	0.39673283
439	0.3965066283
440	0.3962864746
441	0.3961089462
442	0.3959051055
443	0.3956986899
444	0.395492216
445	0.3952967744
446	0.3951077842
447	0.3948819333
448	0.3947418089
449	0.3945657846
450	0.3944028604
451	0.3941851604
452	0.3940192927
453	0.3938379375
454	0.3936864087
455	0.3934886389
456	0.3933180497
457	0.3931675015
458	0.39303064
459	0.392843423
460	0.3926666271
461	0.3925117665
462	0.392340559
463	0.3921422164
464	0.3919665098
465	0.3917743678
466	0.3916271472
467	0.3914299383
468	0.3912461878
469	0.3910662493
470	0.3908893108
471	0.3907178606
472	0.3905123438
473	0.3903029705
474	0.3901352574
475	0.3899272771
476	0.3897413501
477	0.3895523593
478	0.3893646555
479	0.38917967
480	0.3889853209
481	0.3887756318
482	0.3885937563
483	0.3884260254
484	0.3881919627
485	0.3879392767
486	0.3878292646
487	0.3876027208
488	0.387441203
489	0.3872853106
490	0.3870966297
491	0.3869377664
492	0.3867581298
493	0.3865885466
494	0.3864187866
495	0.3862634414
496	0.3861279405
497	0.3859892138
498	0.3858022693
499	0.3856419253
500	0.3854777521
501	0.3853186415
502	0.385108632
503	0.3849475408
504	0.3847975785
505	0.3846400349
506	0.3844824289
507	0.3842881505
508	0.3840960669
509	0.383938202
510	0.3837567078
511	0.3836169801
512	0.3834665079
513	0.3833114076
514	0.3831296171
515	0.3829717107
516	0.3828126433
517	0.3826456707
518	0.3824895527
519	0.3823170117
520	0.3821283009
521	0.3819771284
522	0.3817986784
523	0.3816076462
524	0.3814559666
525	0.381304446
526	0.3811444722
527	0.3810015831
528	0.380847497
529	0.3806765364
530	0.3805322743
531	0.3804048136
532	0.3802531711
533	0.3801345231
534	0.3799658713
535	0.37980814
536	0.3796527859
537	0.3795231639
538	0.3793554208
539	0.3791994203
540	0.3790186744
541	0.3788438762
542	0.3787186701
543	0.3785505018
544	0.3783944605
545	0.378233505
546	0.3781058739
547	0.3780000502
548	0.3778222763
549	0.3776292665
550	0.3774965092
551	0.3773212629
552	0.3771550044
